journal	journal_abbrev	articles	publication_days_mean	publication_days_median	publication_days_max	publication_days_min	publication_days_geq_100	acceptance_days_mean	acceptance_days_median	acceptance_days_max	acceptance_days_min	total_articles
Indian journal of plant physiology / official publication of the Indian Society for Plant Physiology	Indian J Plant Physiol	3	70.3333333333333	23	176	12	0.333333333333333	109.666666666667	89	181	59	3
Indian journal of surgical oncology	Indian J Surg Oncol	169	25.3076923076923	18	210	4	0.0177514792899408	143.254437869822	119	839	3	176
Indian journal of virology : an official organ of Indian Virological Society	Indian J Virol	54	30.3518518518519	21	97	9	0	174.87037037037	156	558	11	54
Indoor air	Indoor Air	116	22.3189655172414	10.5	68	2	0	147.163793103448	133.5	387	46	139
Industrial & engineering chemistry research	Ind Eng Chem Res	1	1	1	1	1	0	177	177	177	177	11
Infant behavior & development	Infant Behav Dev	121	37.2231404958678	32	92	14	0	188.702479338843	180	630	37	125
Infant mental health journal	Infant Ment Health J	1	46	46	46	46	0	132	132	132	132	94
Infection	Infection	220	18.5045454545455	15.5	122	4	0.00909090909090909	88.6909090909091	80.5	287	1	227
Infection & chemotherapy	Infect Chemother	58	154.224137931034	120.5	448	10	0.586206896551724	113.137931034483	85.5	501	10	83
Infection and immunity	Infect Immun	113	9.08849557522124	9	31	3	0	78.5309734513274	77	229	1	789
Infection ecology & epidemiology	Infect Ecol Epidemiol	29	32.3103448275862	29	65	17	0	149.103448275862	154	412	5	30
Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases	Infect Genet Evol	539	9.28571428571429	8	36	1	0	97.8033395176252	90	353	2	560
Infectious agents and cancer	Infect Agent Cancer	58	27.551724137931	26.5	82	2	0	113.344827586207	83	586	41	59
Infectious disease reports	Infect Dis Rep	38	81.7368421052632	61	525	6	0.157894736842105	80.1052631578947	59.5	419	17	46
Infectious diseases	Infect Dis (Auckl)	2	50	50	64	36	0	38.5	38.5	43	34	2
Infectious diseases in obstetrics and gynecology	Infect Dis Obstet Gynecol	23	36.8260869565217	34	113	9	0.0434782608695652	99.4782608695652	97	218	57	23
Infectious diseases of poverty	Infect Dis Poverty	73	20.8082191780822	18	74	1	0	117.698630136986	113	298	4	75
